elapsed_sec,success,fail,availability_pct
1,20,0,100.0
7,20,0,100.0
13,20,0,100.0
19,20,0,100.0
25,20,0,100.0
31,20,0,100.0
37,20,0,100.0
43,20,0,100.0
49,20,0,100.0
56,20,0,100.0
62,20,0,100.0
68,20,0,100.0
74,20,0,100.0
80,20,0,100.0
86,20,0,100.0
