elapsed_sec,success,fail,availability_pct
1,20,0,100.0
7,20,0,100.0
13,20,0,100.0
19,20,0,100.0
26,20,0,100.0
32,20,0,100.0
38,20,0,100.0
43,20,0,100.0
49,20,0,100.0
55,20,0,100.0
61,20,0,100.0
67,20,0,100.0
73,20,0,100.0
79,20,0,100.0
86,20,0,100.0
