node_id,used_bytes,mean_bytes,stddev_bytes,cv
storage-2,1228931072,1258291200,47601193,0.0378
storage-1,1186988032,1258291200,47601193,0.0378
storage-4,1321205760,1258291200,47601193,0.0378
storage-3,1258291200,1258291200,47601193,0.0378
storage-5,1296039936,1258291200,47601193,0.0378
